Player,weighted_pred,scaled_pred
Ben Johnson,75.47819042130722,-1.0909482214158983
Angelo Ogbonna,76.52150640689446,-0.6969606744153166
Issa Diop,75.51681400823416,-1.0763627914216038
Arthur Masuaku,78.36712365667543,0.0
Nikola Vlašić,78.36712365667543,0.0
Mark Noble,78.36712365667543,0.0
Ryan Fredericks,78.36712365667543,0.0
Andriy Yarmolenko,78.36712365667543,0.0
Alphonse Areola,78.36712365667543,0.0
Harrison Ashby,78.36712365667543,0.0
Sonny Perkins,78.36712365667543,0.0
Daniel Chesters,78.36712365667543,0.0
Alex Král,78.36712365667543,0.0
Ajibola Alese,78.36712365667543,0.0
Jamal Baptiste,78.36712365667543,0.0
Conor Coventry,78.36712365667543,0.0
Pierre Ekwah Elimby,78.36712365667543,0.0
Armstrong Okoflex,78.36712365667543,0.0
Darren Randolph,78.36712365667543,0.0
Kasper Schmeichel,83.10702244386994,1.7899285758059906
Youri Tielemans,83.21055984357476,1.8290274170928518
Çağlar Söyüncü,80.36283346383193,0.7536401457550992
James Maddison,82.50718939617518,1.5634135464804102
Harvey Barnes,80.59168375619076,0.8400609104729625
Daniel Amartey,77.79331881579388,-0.216685994309513
Kiernan Dewsbury Hall,77.23242227834497,-0.4284974243684822
Timothy Castagne,76.32522866701183,-0.7710810620404039
Luke Thomas,76.54010952069284,-0.6899355782093288
Jamie Vardy,79.10063639958466,0.27699650946094784
Wilfred Ndidi,77.33410216370908,-0.3901000364559831
Ademola Lookman,80.75971383862912,0.9035141316607256
Jonny Evans,79.46765809763349,0.4155949595066031
Kelechi Iheanacho,77.4534433507976,-0.34503320894956907
Patson Daka,77.59767493991913,-0.2905670157894948
Ricardo Pereira,80.57187303994765,0.8325797872037202
Boubakary Soumaré,74.12033409244057,-1.6037156778526618
Nampalys Mendy,80.31599142467401,0.7359511806100405
Marc Albrighton,72.65074323778971,-2.1586774573297434
James Justin,78.09498577766952,-0.10276746151371433
Wesley Fofana,78.36712365667543,0.0
Jannik Vestergaard,78.36712365667543,0.0
Ayoze Pérez,78.36712365667543,0.0
Ryan Bertrand,78.36712365667543,0.0
Hamza Choudhury,78.36712365667543,0.0
Danny Ward,78.36712365667543,0.0
Lewis Brunt,78.36712365667543,0.0
Kasey McAteer,78.36712365667543,0.0
Vontae Daley Campbell,78.36712365667543,0.0
Eldin Jakupović,78.36712365667543,0.0
Benjamin Nelson,78.36712365667543,0.0
Dennis Praet,78.36712365667543,0.0
