Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled,Nation,Pos,Age,overall,UrlFBref
Ed Turns,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Andi Zeqiri,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Conor Coady,2022,Wolves,Premier League,3361,79.27772212,0.357139971,ENG,DF,28,79,https://fbref.com/en/players/2928dca2/Conor-Coady
José Sá,2022,Wolves,Premier League,3285,81.19682705,1.077083449,POR,GK,28,79,https://fbref.com/en/players/903b6e8b/Jose-Sa
João Moutinho,2022,Wolves,Premier League,2970,80.21357302,0.708220175,POR,MF,34,80,https://fbref.com/en/players/f5a00fa4/Joao-Moutinho
Romain Saïss,2022,Wolves,Premier League,2705,79.45590898,0.423985959,MAR,DF,31,78,https://fbref.com/en/players/9fbbcf39/Romain-Saiss
Rúben Neves,2022,Wolves,Premier League,2661,80.46866291,0.803915987,POR,MF,24,82,https://fbref.com/en/players/44bfb6c5/Ruben-Neves
Max Kilman,2022,Wolves,Premier League,2687,78.31320466,-0.004694365,ENG,DF,24,70,https://fbref.com/en/players/d0f72bf1/Max-Kilman
Raúl Jiménez,2022,Wolves,Premier League,2631,79.44978262,0.421687683,MEX,FW,30,83,https://fbref.com/en/players/b561db50/Raul-Jimenez
Nélson Semedo,2022,Wolves,Premier League,2131,76.61822284,-0.640559077,POR,DF,27,80,https://fbref.com/en/players/d04b94db/Nelson-Semedo
Leander Dendoncker,2022,Wolves,Premier League,1950,76.87452711,-0.544407698,BEL,MF,26,77,https://fbref.com/en/players/5a7301ae/Leander-Dendoncker
Rayan Aït Nouri,2022,Wolves,Premier League,1828,77.11652861,-0.453621935,FRA,DF,20,73,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri
Hwang Hee-chan,2022,Wolves,Premier League,1816,76.03040102,-0.861077756,KOR,"FW,MF",25,75,https://fbref.com/en/players/169fd162/Hwang-Hee-chan
Fernando Marçal,2022,Wolves,Premier League,1449,77.53171987,-0.297864825,BRA,DF,32,75,https://fbref.com/en/players/9ae9eaea/Fernando-Marcal
Francisco Trincão,2022,Wolves,Premier League,1336,75.21639172,-1.166449639,POR,"FW,MF",21,76,https://fbref.com/en/players/77e39b04/Francisco-Trincao
Daniel Podence,2022,Wolves,Premier League,1484,76.02241084,-0.864075236,POR,"FW,MF",25,78,https://fbref.com/en/players/7fcc71d8/Daniel-Podence
Adama Traoré,2022,Wolves,Premier League,1067,74.41806466,-1.465938403,ESP,FW,25,78,https://fbref.com/en/players/9a28eba4/Adama-Traore
Jonny Castro,2022,Wolves,Premier League,1024,78.15117191,-0.065480213,ESP,DF,27,80,https://fbref.com/en/players/e28868f3/Jonny-Castro
Willy Boly,2022,Wolves,Premier League,900,77.14856284,-0.44160444,CIV,DF,30,79,https://fbref.com/en/players/a4ac4b8f/Willy-Boly
Fábio Silva,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,70,NA
Pedro Neto,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Toti Gomes,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Ki-Jana Hoever,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,65,NA
Luke Cundle,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,54,NA
Chiquinho,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
John Ruddy,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,70,NA
Chem Campbell,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,58,NA
