Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-11-20,Wolves,Away,2,90+3,Adama Traoré,Blocked,22,Right Foot,,Adama Traoré,Fouled,Romain Saïss,Pass (Live)
2021-11-20,West Ham,Away,1,5,Jarrod Bowen,Blocked,28,Left Foot,,Saïd Benrahma,Tackle,,
2021-11-20,West Ham,Away,1,12,Jarrod Bowen,Off Target,9,Head,,Aaron Cresswell,Pass (Live),Jarrod Bowen,Pass (Live)
2021-11-20,West Ham,Away,1,13,Tomáš Souček,Saved,25,Right Foot,,Michail Antonio,Pass (Live),,
2021-11-20,West Ham,Away,2,57,Michail Antonio,Blocked,26,Left Foot,,Ben Johnson,Pass (Live),,
2021-11-20,West Ham,Away,2,57,Declan Rice,Saved,29,Right Foot,,Declan Rice,Dribble,,
2021-11-20,West Ham,Away,2,65,Michail Antonio,Off Target,19,Left Foot,,,,,
2021-11-20,West Ham,Away,2,70,Jarrod Bowen,Off Target,14,Left Foot,,Michail Antonio,Pass (Live),Michail Antonio,Dribble
2021-11-20,West Ham,Away,2,75,Craig Dawson,Wayward,8,Head,,Aaron Cresswell,Pass (Dead),Nikola Vlašić,Pass (Live)
2021-11-20,West Ham,Away,2,78,Andriy Yarmolenko,Blocked,19,Left Foot,,Michail Antonio,Pass (Live),Ben Johnson,Pass (Live)
2021-11-20,Watford,Home,1,11,Ismaila Sarr (pen),Saved,12,Right Foot,,Joshua King,Fouled,,
2021-11-20,Watford,Home,1,11,Moussa Sissoko,Blocked,8,Head,,Imran Louza,Pass (Dead),,
2021-11-20,Watford,Home,1,12,Emmanuel Dennis,Wayward,8,Head,,Imran Louza,Pass (Dead),Moussa Sissoko,Shot
2021-11-20,Watford,Home,1,18,Joshua King,Blocked,17,Right Foot,,Adam Masina,Pass (Live),Adam Masina,Tackle
2021-11-20,Watford,Home,1,23,Joshua King,Blocked,9,Right Foot,Half volley,Imran Louza,Pass (Dead),,
2021-11-20,Watford,Home,1,27,Ismaila Sarr,Blocked,15,Left Foot,,Ismaila Sarr,Interception,,
2021-11-20,Watford,Home,1,28,Joshua King,Goal,8,Left Foot,,Emmanuel Dennis,Pass (Live),,
2021-11-20,Watford,Home,1,33,Joshua King,Blocked,20,Right Foot,,Ismaila Sarr,Pass (Live),Ismaila Sarr,Interception
2021-11-20,Watford,Home,1,40,Joshua King,Saved,10,Head,,Adam Masina,Pass (Live),Emmanuel Dennis,Pass (Live)
2021-11-20,Watford,Home,1,40,Moussa Sissoko,Off Target,17,Right Foot,Volley,Joshua King,Shot,,
2021-11-20,Watford,Home,1,44,Ismaila Sarr,Goal,16,Right Foot,Half volley,Kiko Femenía,Pass (Live),,
2021-11-20,Watford,Home,2,52,Joshua King,Saved,11,Right Foot,,Emmanuel Dennis,Pass (Live),Moussa Sissoko,Pass (Live)
2021-11-20,Watford,Home,2,64,Imran Louza,Blocked,25,Left Foot,Free kick,Ismaila Sarr,Fouled,Ismaila Sarr,Pass (Live)
2021-11-20,Watford,Home,2,70,Emmanuel Dennis,Off Target,30,Right Foot,Free kick,Tom Cleverley,Fouled,,
2021-11-20,Watford,Home,2,71,Emmanuel Dennis,Blocked,23,Right Foot,,Joshua King,Pass (Live),Moussa Sissoko,Pass (Live)
2021-11-20,Watford,Home,2,85,João Pedro,Off Target,7,Head,,Adam Masina,Pass (Dead),João Pedro,Pass (Live)
2021-11-20,Watford,Home,2,90,João Pedro,Off Target,23,Right Foot,,Cucho,Pass (Live),Kiko Femenía,Pass (Live)
2021-11-20,Watford,Home,2,90+2,João Pedro,Saved,12,Right Foot,,Cucho,Pass (Live),Emmanuel Dennis,Pass (Live)
2021-11-20,Watford,Home,2,90+2,João Pedro,Goal,11,Right Foot,,Emmanuel Dennis,Pass (Live),Kiko Femenía,Pass (Live)
2021-11-20,Watford,Home,2,90+6,Emmanuel Dennis,Goal,12,Right Foot,,Ben Foster,Pass (Live),,
2021-11-20,Manchester Utd,Away,1,13,Cristiano Ronaldo,Blocked,16,Left Foot,,,,,
2021-11-20,Manchester Utd,Away,1,32,Marcus Rashford,Saved,14,Right Foot,Volley,Bruno Fernandes,Pass (Live),Nemanja Matić,Pass (Live)
2021-11-20,Manchester Utd,Away,2,50,Donny van de Beek,Goal,5,Head,"Open goal, Diving header",Cristiano Ronaldo,Pass (Live),Jadon Sancho,Pass (Live)
2021-11-20,Manchester Utd,Away,2,55,Bruno Fernandes,Off Target,16,Right Foot,Volley,Jadon Sancho,Pass (Live),Donny van de Beek,Pass (Live)
