Date,Squad,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event,45+,Home_Away,order,xG
2022-01-02,Burnley,1,46,Jóhann Berg Guðmundsson,Blocked,26,Left Foot,,Jóhann Berg Guðmundsson,Interception,,,1,Away,186,0.014910324476659296
2022-01-02,Burnley,1,46,Chris Wood,Off Target,15,Left Foot,Half volley,Charlie Taylor,Pass (Live),Charlie Taylor,Dribble,1,Away,186,0.08449767529964447
2022-01-02,Leeds United,2,47,Tyler Roberts,Blocked,29,Right Foot,,Mateusz Klich,Pass (Live),Junior Firpo,Pass (Live),0,Home,186,0.01850110478699208
2022-01-02,Leeds United,2,47,Tyler Roberts,Wayward,26,Right Foot,Half volley,Tyler Roberts,Shot,,,0,Home,186,0.013974357396364212
2022-01-02,Leeds United,2,52,Tyler Roberts,Off Target,19,Right Foot,,Tyler Roberts,Dribble,Mateusz Klich,Pass (Live),0,Home,186,0.0971102938055992
2022-01-02,Burnley,2,54,Maxwel Cornet,Goal,30,Left Foot,Free kick,Maxwel Cornet,Fouled,Chris Wood,Pass (Live),0,Away,186,0.043798819184303284
2022-01-02,Burnley,2,64,Maxwel Cornet,Off Target,4,Left Foot,Half volley,Ashley Westwood,Pass (Dead),James Tarkowski,Pass (Live),0,Away,186,0.14113755524158478
2022-01-02,Leeds United,2,72,Raphael Dias Belloli,Off Target,8,Right Foot,,Daniel James,Pass (Live),Junior Firpo,Pass (Live),0,Home,186,0.2714715600013733
2022-01-02,Burnley,2,75,Maxwel Cornet,Off Target,6,Left Foot,,Matthew Lowton,Pass (Live),Ashley Westwood,Pass (Live),0,Away,186,0.03483293578028679
2022-01-02,Leeds United,2,76,Raphael Dias Belloli,Blocked,17,Left Foot,,Mateusz Klich,Pass (Live),Stuart Dallas,Pass (Live),0,Home,186,0.04827073961496353
2022-01-02,Leeds United,2,77,Stuart Dallas,Goal,22,Left Foot,,Mateusz Klich,Pass (Live),Raphael Dias Belloli,Pass (Live),0,Home,186,0.03381787240505218
2022-01-02,Leeds United,2,90,Joe Gelhardt,Blocked,19,Left Foot,,Daniel James,Pass (Live),Robin Koch,Pass (Live),0,Home,186,0.08054186403751372
2022-01-02,Leeds United,2,92,Daniel James,Goal,7,Head,,Joe Gelhardt,Pass (Live),Mateusz Klich,Pass (Live),0,Home,186,0.4645478427410126
2022-01-02,Burnley,2,94,Maxwel Cornet,Off Target,23,Right Foot,,Matthew Lowton,Fouled,Matthew Lowton,Tackle,0,Away,186,0.02511293813586235
2022-01-02,Aston Villa,1,9,John McGinn,Off Target,31,Left Foot,Half volley,Matty Cash,Pass (Live),,,0,Away,187,0.015783471986651417
2022-01-02,Aston Villa,1,12,Danny Ings,Blocked,16,Left Foot,,Emi Buendía,Pass (Live),Bertrand Traoré,Pass (Live),0,Away,187,0.08540743589401245
2022-01-02,Aston Villa,1,16,Danny Ings,Goal,17,Left Foot,,Emi Buendía,Pass (Live),Emi Buendía,Dribble,0,Away,187,0.12293335795402527
